date,close,high,low,open,volume,tic,day
2015-11-11,175.0259246826172,176.03695082071616,174.95852122595795,175.98640144219542,67846000,SPY,2
2015-11-12,172.5825958251953,174.4529999467227,172.5657546031237,173.98118861082295,121315200,SPY,3
2015-11-13,170.64483642578125,172.43941698696537,170.56059172395422,172.16981594286116,153577100,SPY,4
2015-11-16,173.23980712890625,173.29878998871206,170.34152207091594,170.45948779052753,117645200,SPY,0
2015-11-17,173.1134490966797,174.4362054109166,172.61636290210208,173.55156528208832,121123700,SPY,1
2015-11-18,175.8600616455078,176.0032892078241,173.5515537099533,173.59366963259475,121342500,SPY,2
2015-11-19,175.7084503173828,176.12971247932526,175.4135616616627,175.74214563374179,88220500,SPY,3
2015-11-20,176.34873962402344,177.031182174416,175.9696063022386,176.46669249870982,94011500,SPY,4
2015-11-23,176.14654541015625,176.91323268232725,175.68315451649283,176.4077258622485,64931200,SPY,0
2015-11-24,176.3824462890625,176.7868543051281,174.74794728526123,175.13550121768685,98874400,SPY,1
2015-11-25,176.357177734375,176.71103636774527,176.0959844245046,176.50882592471962,51980100,SPY,2
2015-11-27,176.559326171875,176.76153655861043,175.96956194709995,176.44979393873967,37317800,SPY,4
2015-11-30,175.8263702392578,176.8373966671618,175.7168379838029,176.7194437981713,112822700,SPY,0
2015-12-01,177.5030059814453,177.62097172021072,176.18024957044784,176.4582841206091,97858400,SPY,1
2015-12-02,175.6915740966797,177.77260994296742,175.43881426017808,177.45244662633874,108441300,SPY,2
2015-12-03,173.23141479492188,176.21394503907788,172.5068434121416,175.9443439591062,166224200,SPY,3
2015-12-04,176.6099090576172,176.90479765389327,173.2313918280088,173.2313918280088,192913900,SPY,4
2015-12-07,175.53990173339844,176.7025762517463,174.57099130289473,176.2813142008919,102027100,SPY,0
2015-12-08,174.36041259765625,175.48939214730268,173.3746606455708,173.97285859387978,103372400,SPY,1
2015-12-09,173.0039825439453,175.8180113665934,172.02665101141596,173.72013353117376,162401500,SPY,2
2015-12-10,173.45040893554688,174.76474429715466,172.83537002523468,173.0712757129132,116128900,SPY,3
2015-12-11,170.0887908935547,171.99289097180136,169.7770481951906,171.3273025053737,211173300,SPY,4
2015-12-14,170.94815063476562,171.07453697504988,168.46270687995957,170.24886687996727,182385200,SPY,0
2015-12-15,172.7427520751953,173.65267984017308,170.9228965452398,172.4647175201271,154069600,SPY,1
2015-12-16,175.270263671875,175.57357282088526,172.54891479841078,173.87167077055568,197017000,SPY,2
2015-12-17,172.5995330810547,175.64946701213313,172.58267899496616,175.5820635236799,173092500,SPY,3
2015-12-18,169.524658203125,171.99098546495205,169.36362381531808,171.85538913053546,251393500,SPY,4
2015-12-21,170.923095703125,171.101084486675,169.58398325887222,170.70274033853093,99094300,SPY,0
2015-12-22,172.47406005859375,172.7707036640907,170.82136280667632,171.81298115782678,111026200,SPY,1
2015-12-23,174.60987854003906,174.6522580498585,173.38942107873945,173.4826508273779,110987200,SPY,2
2015-12-24,174.32168579101562,174.8725934911412,174.10133047041091,174.35559456797586,48539600,SPY,3
2015-12-28,173.9234161376953,173.9657827252586,172.84703840586343,173.62677243026948,65899900,SPY,0
2015-12-29,175.7794647216797,176.11000419116687,174.9912601915219,175.02515603836744,92640700,SPY,1
2015-12-30,174.53358459472656,175.61844569483083,174.3895046119371,175.53368667793808,63317700,SPY,2
2015-12-31,172.78768920898438,174.4997207918084,172.78768920898438,173.85559611533392,114877900,SPY,3
2016-01-04,170.3721466064453,170.38061733347607,168.3126218860981,169.92295235806984,222353500,SPY,0
2016-01-05,170.6603240966797,171.1179891192369,169.55005091810494,170.69421994070248,110845800,SPY,1
2016-01-06,168.50759887695312,169.5585382659889,167.47360094538482,168.10077111434867,152112600,SPY,2
2016-01-07,164.46484375,167.33799866452176,164.07497036102643,165.54969196399927,213436100,SPY,3
2016-01-08,162.65956115722656,165.99039365035162,162.3714012174392,165.4310152267109,209817200,SPY,4
2016-01-11,162.82057189941406,163.92237419854322,160.87971501893227,163.5833511428996,187941300,SPY,0
2016-01-12,164.13427734375,164.88858594590823,161.99847711478168,164.2698865813626,172330500,SPY,1
2016-01-13,160.0406951904297,165.15135126879767,159.65930545504915,164.8038573828774,221168900,SPY,2
2016-01-14,162.66802978515625,163.79525734585224,159.04905033137382,160.65089730027674,240795600,SPY,3
2016-01-15,159.1762237548828,159.98138284526976,157.2353660345853,158.29478929362412,324846400,SPY,4
2016-01-19,159.38809204101562,161.12554859392307,157.8116698761334,160.99842298885656,195244400,SPY,1
2016-01-20,157.34548950195312,158.91344062239094,153.4213957355556,156.8200198633326,286547800,SPY,2
2016-01-21,158.22694396972656,160.0745714508688,156.48948768515635,157.82012916393177,195772900,SPY,3
2016-01-22,161.47300720214844,161.67640812580294,160.0830448500717,160.84582417859346,168319600,SPY,4
2016-01-25,159.03207397460938,161.1593902898162,158.8371438015396,160.9644601167464,130371700,SPY,0
2016-01-26,161.20179748535156,161.48148670298048,159.3541700222635,159.6931802017116,141036800,SPY,1
2016-01-27,159.44737243652344,162.3544223777091,158.5405003166785,160.67630029192964,185681700,SPY,2
2016-01-28,160.2780303955078,161.2018443958863,158.62533265803873,160.9984434019905,143798800,SPY,3
2016-01-29,164.1851348876953,164.32074413134808,160.9305906344845,161.04924548957837,210529300,SPY,4
2016-02-01,164.1258544921875,164.9140721619875,162.59181160400766,163.17661534202395,136061600,SPY,0
2016-02-02,161.1679229736328,162.70196557716704,160.64244031379968,162.69349484790288,182564900,SPY,1
2016-02-03,162.1341094970703,162.54092433557236,158.57445056225356,162.22733924468645,205054900,SPY,2
2016-02-04,162.38836669921875,163.3630307107808,160.99840420553886,161.63405802153412,139531800,SPY,3
2016-02-05,159.29486083984375,162.44770514097527,158.65920695546097,161.87138516002568,180788300,SPY,4
2016-02-08,157.15060424804688,157.74387867623352,154.93005727437148,157.44724792834648,191526700,SPY,0
2016-02-09,157.1590576171875,158.43884902705562,155.2690503860317,155.4046596496117,184513100,SPY,1
2016-02-10,157.0234832763672,159.6254201070894,156.89634472430163,157.98967678296572,148214100,SPY,2
2016-02-11,154.98085021972656,156.03180234138384,153.4807038447789,154.5401266935596,219058900,SPY,3
2016-02-12,158.1760711669922,158.19301262102636,155.91314554229416,156.76068381067878,127632400,SPY,4
2016-02-16,160.84584045410156,160.87126557213108,159.0236380224671,159.98983130481827,120250700,SPY,1
